,題目,A,B,C,D,答案
46,在《火影忍者》中，哪位角色最先擁有“輪迴眼”？,鳴人,佩恩,斑,佐助,B
47,旗木卡卡西的招牌技能是什麼？,影分身之術,風遁·螺旋丸,雷切,天照,C
48,哪位忍者曾經是曉組織的間諜？,鬼鮫,佐井,迪達拉,宇智波鼬,D
49,哪個村子的忍者使用了沙子作為武器？,霧隱村,岩隱村,砂隱村,木葉村,C
50,哪位角色在第四次忍界大戰中以“鳴人模式”戰鬥？,宇智波斑,佐助,帶土,鳴人,D
51,佐井的忍術以什麼為特色？,火遁,雷遁,水墨畫,傀儡術,C
52,哪位角色曾經是第四代火影的弟子？,大蛇丸,自來也,鳴人,小櫻,C
53,在《火影忍者》中，九尾的真名是什麼？,九喇嘛,忍狗,螺旋,幻月,A
54,宇智波斑的復活是使用了什麼忍術？,穢土轉生,死者復活,外道輪回天生之術,幻術,C
55,哪位忍者擁有“熔遁”與“沸遁”兩種血繼限界？,迪達拉,我愛羅,照美冥,佐助,C
56,在第四次忍界大戰中，誰是“白絕”的領袖？,宇智波斑,帶土,黑絕,佩恩,B
57,哪一個忍術讓大蛇丸擁有了長生不老的能力？,穢土轉生,不屍轉生,死亡筆記,生死轉換,B
58,哪個角色的武器是針灸和線？,日向雛田,鹿丸,鬼鮫,鐮鼬,D
59,鳴人與佐助在最終對決中，失去了哪一部分身體？,右臂,左腿,右眼,左臂,D
60,哪位角色最擅長使用毒？,小櫻,勘九郎,靜音,赤砂之蠍,D
61,旗木卡卡西在成為火影之前是什麼職位？,上忍,中忍,暗部隊長,根部成員,C
62,哪位角色在第四次忍界大戰中曾被穢土轉生復活？,初代火影,九喇嘛,小櫻,邁特凱,A
63,誰是九尾之前的宿主？,鳴人,漩渦玖辛奈,波風湊,自來也,B
64,哪位角色是唯一能夠控制尾獸的人？,初代火影,佐助,大蛇丸,綱手,A
65,佩恩使用哪種瞳術來控制他的六道分身？,寫輪眼,輪迴眼,白眼,永恆萬花筒寫輪眼,B
66,哪個忍術讓佐助獲得了強大的火遁能力？,千鳥,螺旋丸,豪火球之術,天照,D
67,在第四次忍界大戰中，宇智波斑使用什麼忍術召喚了十尾？,外道輪回天生之術,穢土轉生,木遁,六道天道,A
68,哪位角色在戰鬥中最常使用巨型忍具？,佐井,鬼鮫,迪達拉,勘九郎,B
69,鳴人和九尾最終是如何成為夥伴的？,鳴人控制了九尾,鳴人打敗了九尾,鳴人贏得了九尾的信任,九尾被強制馴服,C
70,哪位忍者創立了“曉”組織？,宇智波斑,長門,小南,彌彥,D
71,哪個忍術讓卡卡西能夠穿越異次元空間？,雷切,千鳥,神威,月讀,C
72,哪位角色曾經被稱為“無尾尾獸”？,迪達拉,干柿鬼鮫,自來也,大蛇丸,B
73,在《火影忍者》中，哪位角色曾是第四代火影的妻子？,綱手,小南,漩渦玖辛奈,日向雛田,C
74,哪位角色最擅長使用“天之咒印”？,鳴人,大蛇丸,宇智波佐助,小櫻,C
75,哪一種尾獸是八尾？,牛頭馬面,魚,龍,章魚,D
76,哪位角色使用“木遁”忍術？,千手柱間,宇智波斑,自來也,佐井,A
77,誰是三代火影的徒弟之一？,綱手,鳴人,佐助,鹿丸,A
78,哪位角色擁有“風遁·螺旋手裏劍”這項招式？,佐助,鳴人,我愛羅,佐井,B
79,在《火影忍者》中，誰最早使用了“封印術”來封印九尾？,四代火影,二代火影,初代火影,三代火影,A
80,誰是卡卡西的最好朋友，並且最終成為敵人？,佐助,宇智波帶土,宇智波鼬,鬼鮫,B
81,哪位角色使用“冰遁”作為攻擊技能？,鬼燈水月,白,迪達拉,靜音,B
82,哪個角色的武器是“斬首大刀”？,佐助,鬼鮫,佐井,桃地再不斬,D
83,在《火影忍者》中，誰擁有“飛雷神之術”？,鳴人,波風湊,自來也,卡卡西,B
84,誰是鳴人的導師之一，幫助他掌握九尾的力量？,大蛇丸,綱手,自來也,卡卡西,C
85,哪位角色的特徵是眼睛總是閉著，但戰鬥時會睜開？,鬼鮫,牙,日向寧次,李洛克,C
86,哪位角色曾是“月亮的眼睛計劃”的執行者？,宇智波斑,自來也,長門,宇智波帶土,D
87,誰在第四次忍界大戰中與鳴人和佐助聯手對抗大筒木輝夜？,小櫻,卡卡西,邁特凱,我愛羅,A
88,在《火影忍者》中，哪一種動物是大蛇丸的召喚獸？,蛇,鳥,狼,老虎,A
89,誰是第五代火影？,綱手,波風湊,大蛇丸,自來也,A
90,哪位角色使用“鴉”作為戰鬥中的主要工具？,佐助,迪達拉,宇智波鼬,佐井,C
91,誰是宇智波斑的主要對手，在戰爭時期與他展開激烈戰鬥？,千手扉間,波風湊,千手柱間,自來也,C
92,哪一個組織主要由女性忍者組成，並由照美冥領導？,曉,根,蛇,水影護衛隊,D
93,哪位忍者以使用水遁忍術著稱？,干柿鬼鮫,我愛羅,自來也,卡卡西,A
94,在《火影忍者》中，誰擁有“萬象天引”和“神羅天征”這兩種能力？,宇智波斑,佩恩,佐助,大筒木輝夜,B
95,誰是宇智波一族的創始人？,宇智波斑,宇智波帶土,宇智波鼬,宇智波富岳,A
96,鳴人與九尾的首次合作戰鬥是對抗誰？,佩恩,大蛇丸,我愛羅,斑,A
97,在第四次忍界大戰中，誰掌握了“夜凱”這一禁術？,邁特凱,佐助,卡卡西,宇智波斑,A
98,哪個村莊的忍者以“白眼”為家族血繼限界？,霧隱村,砂隱村,雲隱村,木葉村,D
99,哪位忍者以使用毒霧攻擊敵人著稱？,赤砂之蠍,照美冥,勘九郎,靜音,B
100,在第四次忍界大戰中，宇智波斑被誰背叛？,佐助,宇智波帶土,黑絕,大蛇丸,C
101,哪位忍者掌握了“永恆萬花筒寫輪眼”？,鳴人,宇智波斑,佐助,宇智波鼬,C
102,哪位忍者在戰鬥中使用爆炸性粘土作為武器？,佐井,迪達拉,佐助,鬼鮫,B
103,誰是第六代火影？,鳴人,卡卡西,綱手,自來也,B
104,在第四次忍界大戰中，哪位角色為了保護鳴人而開啟了第八門“死門”？,卡卡西,邁特凱,佐助,我愛羅,B
105,哪位角色擁有“重吾的詛咒印”？,鳴人,佐助,香燐,自來也,B
106,誰在大蛇丸的實驗中獲得了“咒印”能力？,鳴人,佐助,靜音,大和,B
107,在第四次忍界大戰中，哪位角色首次發現了宇智波斑的陰謀？,鳴人,卡卡西,宇智波鼬,大蛇丸,C
108,哪位忍者擁有控制砂的能力？,大蛇丸,我愛羅,鬼鮫,迪達拉,B
109,誰是第一代火影？,千手柱間,千手扉間,宇智波斑,初代水影,A
110,誰是宇智波斑的兄弟？,宇智波帶土,宇智波佐助,宇智波泉奈,宇智波鼬,C
111,哪個組織的成員通常穿著黑底紅雲的制服？,曉,根,蛇,鷹,A
112,誰是第四代火影的學生之一？,鳴人,佐助,大和,卡卡西,D
113,哪位角色能夠使用“蛞蝓”作為召喚獸？,大蛇丸,自來也,綱手,鳴人,C
114,在第四次忍界大戰中，哪位角色使用了“大地爆天星”？,佩恩,宇智波斑,宇智波帶土,佐助,B
115,哪個尾獸擁有六條尾巴？,一尾,六尾,八尾,九尾,B
116,哪位角色使用過“轉生眼”？,鳴人,佐助,羽村,自來也,C
117,哪個角色的能力包括使用“紙”作為武器？,小南,佐井,鬼鮫,佐助,A
118,誰是“根”組織的領導者？,卡卡西,大和,猿飛日斬,団藏,D
119,哪位角色最終成為了第七代火影？,卡卡西,鳴人,佐助,綱手,B
120,在《火影忍者》中，哪個忍者擁有“八門遁甲”？,鳴人,佐助,邁特凱,小李,C
121,哪位角色在戰鬥中最常使用傀儡？,小櫻,鹿丸,勘九郎,靜音,C
122,誰是第三代火影的孫女？,小櫻,靜音,井野,猿飛未來,D
123,誰是佐助的隊友，並且擁有強大的查克拉感知能力？,大蛇丸,香燐,鬼燈水月,重吾,B
124,哪位角色的父親曾經也是火影候選人？,我愛羅,鹿丸,寧次,波風湊,A
125,誰曾經擁有過“三尾”尾獸？,我愛羅,鬼鮫,矢倉,長門,C
126,在《火影忍者》中，哪位角色的體術最為出色？,卡卡西,佐助,邁特凱,自來也,C
127,哪位角色使用“鷹”作為召喚獸？,佐助,鳴人,自來也,我愛羅,A
128,誰曾經是鳴人和佐助的隊友？,小櫻,香燐,靜音,鹿丸,A
129,誰是“曉”組織中唯一的女性成員？,小櫻,香燐,小南,井野,C
130,哪位忍者曾是雲隱村的忍者？,干柿鬼鮫,我愛羅,奇拉比,佐助,C
131,誰是木葉村的第三代火影？,自來也,千手柱間,猿飛日斬,波風湊,C
132,哪個角色以使用“紙遁”忍術著名？,小櫻,香燐,小南,靜音,C
133,哪位角色擁有“黑棒”作為武器？,佩恩,佐助,自來也,鳴人,A
134,在《火影忍者》中，誰是“天才忍者”宇智波鼬的弟弟？,鳴人,佐助,小櫻,靜音,B
135,哪位角色擁有“風遁·螺旋手裏劍”這項招式？,鳴人,佐助,我愛羅,鹿丸,A
136,誰是“曉”組織的傀儡師？,角都,飛段,赤砂之蠍,迪達拉,C
137,誰是大蛇丸的得意弟子之一？,鳴人,佐助,靜音,綱手,B
138,哪個角色擁有“屍骨脈”這種血繼限界？,鬼鮫,鳴人,君麻呂,佐井,C
139,誰是“曉”組織中使用“永恆萬花筒寫輪眼”的成員？,長門,宇智波帶土,宇智波斑,宇智波鼬,B
140,誰曾經是木葉村的根組織成員之一？,鹿丸,靜音,山中井野,大和,D
141,哪位角色能夠使用“暗部”級別的忍術？,卡卡西,鳴人,佐助,我愛羅,A
142,在《火影忍者》中，哪個組織是為了捕獲尾獸而成立的？,曉,根,鷹,雲隱村,A
143,誰是第四次忍界大戰中的“銀色閃光”？,自來也,卡卡西,大和,水木,B
144,哪位角色能夠使用“沙暴送葬”這項忍術？,鳴人,我愛羅,佐助,迪達拉,B
145,誰在第四次忍界大戰中使用了“再生之術”來救治戰士？,靜音,綱手,小櫻,自來也,C
146,誰在第四次忍界大戰中使用了“雷切”攻擊敵人？,鳴人,卡卡西,佐助,自來也,B
147,誰是第二代火影？,千手柱間,千手扉間,宇智波斑,猿飛日斬,B
148,哪位角色曾經使用過“飛雷神之術”？,鳴人,波風湊,佐助,自來也,B
149,誰是大蛇丸手下的四人之一，擅長使用咒印的力量？,香燐,佐助,君麻呂,左近,C
150,哪個角色曾經是音忍四人眾的領導者？,左近,君麻呂,多由也,鬼童丸,B
151,在《火影忍者》中，誰是第六代水影？,長十郎,照美冥,大蛇丸,干柿鬼鮫,A
152,哪位角色擁有操控影子的能力？,鳴人,鹿丸,我愛羅,佐助,B
153,誰是日向寧次的堂妹？,日向雛田,靜音,井野,小櫻,A
154,哪位角色的招式名為“螺旋丸”？,鳴人,佐助,自來也,小櫻,A
155,誰是第一代水影？,千手柱間,初代水影·白蓮,波風湊,千手扉間,B
156,哪位角色能夠操縱木遁？,千手柱間,鳴人,我愛羅,大和,A
157,誰是九尾的最終封印者？,波風湊,鳴人,綱手,自來也,B
158,哪位角色能夠使用“水遁·水龍彈之術”？,卡卡西,干柿鬼鮫,佐助,鳴人,B
159,誰是“曉”組織的創始人之一？,宇智波帶土,宇智波鼬,長門,迪達拉,C
160,哪位忍者使用“金剛封鎖”作為防禦性術式？,綱手,靜音,四代目火影·波風湊,卡卡西,C
161,誰是宇智波斑的得力助手？,宇智波鼬,宇智波帶土,迪達拉,黑絕,D
162,在第四次忍界大戰中，哪位角色曾短暫控制了十尾？,宇智波斑,宇智波帶土,佐助,鳴人,B
163,哪位忍者擁有“雷遁·麒麟”這項強大技能？,鳴人,卡卡西,佐助,我愛羅,C
164,誰是砂隱村的五代風影？,我愛羅,鳴人,千代,勘九郎,A
165,在第四次忍界大戰中，誰是聯合忍者大軍的總司令？,千手柱間,我愛羅,第四代雷影,綱手,C
166,哪位忍者能夠召喚通靈獸“萬蛇”？,鳴人,大蛇丸,佐助,自來也,B
167,誰在第四次忍界大戰中，與卡卡西一起對抗了宇智波斑？,鳴人,佐助,自來也,邁特凱,D
168,哪位角色的父親是木葉村的忍者英雄？,我愛羅,佐助,鳴人,靜音,C
169,誰曾在戰鬥中使用“八尾”尾獸的力量？,鳴人,奇拉比,干柿鬼鮫,我愛羅,B
170,誰是“曉”組織中與蝎搭檔的成員？,飛段,迪達拉,角都,宇智波鼬,B
171,誰曾經與鳴人爭奪成為火影的資格？,佐助,鹿丸,我愛羅,寧次,A
172,哪位角色在戰鬥中最常使用“咒印”？,大蛇丸,佐助,君麻呂,香燐,B
173,在第四次忍界大戰中，誰成為了“尾獸之王”？,鳴人,佐助,宇智波帶土,宇智波斑,D
174,誰是第四代火影的妻子？,綱手,靜音,漩渦玖辛奈,日向雛田,C
175,哪位忍者擁有操控“白眼”的能力？,佐助,日向寧次,鳴人,井野,B
176,誰在“中忍考試”中與佐助對戰？,鳴人,我愛羅,勘九郎,鹿丸,B
177,誰是宇智波斑的宿敵？,千手柱間,千手扉間,自來也,綱手,A
178,在第四次忍界大戰中，哪位角色曾經被封印在月亮中？,鳴人,佐助,大筒木輝夜,宇智波帶土,C
179,誰是木葉村的“根”組織創立者？,波風湊,猿飛日斬,団藏,自來也,C
180,誰是木葉村的第五代火影？,鳴人,卡卡西,綱手,自來也,C
181,誰曾經被鳴人救出過“無限月讀”？,日向雛田,佐助,我愛羅,小櫻,A
182,誰擁有“天照”的能力？,鳴人,佐助,自來也,宇智波鼬,D
183,誰在鳴人小時候成為了他的導師？,卡卡西,伊魯卡,自來也,綱手,B
184,哪位角色擅長使用傀儡術？,勘九郎,鳴人,我愛羅,鹿丸,A
185,誰是鳴人最好的朋友和競爭對手？,佐助,小櫻,鹿丸,井野,A
186,在第四次忍界大戰中，誰成為了“六道仙人”的繼承者？,鳴人,佐助,我愛羅,卡卡西,A
187,誰是第四代雷影？,奇拉比,三船,良牙,良人,D
188,哪位忍者擁有操控沙子的能力？,佐助,我愛羅,鳴人,小櫻,B
189,誰在第四次忍界大戰中成為了“人柱力”的宿主？,鳴人,奇拉比,我愛羅,佐助,A
190,哪位角色能夠使用“地爆天星”這項忍術？,佩恩,綱手,小櫻,佐助,A
191,哪位忍者擅長使用“千鳥”這項技術？,鳴人,佐助,卡卡西,自來也,C
192,誰是鳴人的母親？,綱手,漩渦玖辛奈,小櫻,日向雛田,B
193,哪位角色曾經是木葉村的“暗部”隊員？,佐助,大和,鳴人,綱手,B
194,哪個角色能夠使用“漩渦遁”？,佐助,鳴人,綱手,自來也,B
195,誰是第一代火影？,千手柱間,千手扉間,猿飛日斬,宇智波斑,A
196,誰在故事中最初使用“千手”技術？,千手柱間,千手扉間,自來也,綱手,A
197,哪位角色是自來也的學生？,佐助,小櫻,鳴人,井野,C
198,誰是曾經的五代風影？,鳴人,佐助,我愛羅,卡卡西,C
199,哪位角色擁有“體術”專精？,自來也,佐助,邁特凱,佐井,C
200,哪位忍者使用“井野”作為血繼限界？,井野,小櫻,鹿丸,綱手,A
201,誰是木葉村的“根”組織的創始者？,団藏,千手柱間,佐助,卡卡西,A
202,誰曾經是自來也的徒弟？,佐助,鳴人,小櫻,奇拉比,B
203,誰的能力包括使用“木遁”？,千手柱間,大蛇丸,佐助,鳴人,A
204,哪位角色擁有“永久寫輪眼”？,宇智波鼬,佐助,宇智波斑,自來也,C
205,誰是木葉村的第四代火影？,千手柱間,綱手,波風湊,卡卡西,C
206,誰是音忍四人眾的領導者？,大蛇丸,君麻呂,鬼童丸,香燐,A
207,誰是自來也的搭檔？,佐助,鳴人,綱手,小櫻,C
208,哪位角色的能力包括操控“沙子”？,我愛羅,鳴人,佐助,卡卡西,A
209,誰的父親是木葉村的“忍者英雄”？,佐助,鳴人,我愛羅,小櫻,B
210,哪位角色曾經使用“寫輪眼”來操控他人？,宇智波鼬,佐助,自來也,佩恩,A
211,誰是木葉村的第七班的成員之一？,鳴人,佐助,小櫻,以上皆是,D
212,哪位忍者能夠使用“雷遁·雷切”？,佐助,鳴人,卡卡西,大蛇丸,C
213,誰是木葉村的第三代火影？,千手柱間,猿飛日斬,自來也,綱手,B
214,誰是風影的父親？,我愛羅,干柿鬼鮫,綱手,大蛇丸,A
215,哪位忍者使用“火遁·火龍彈”？,卡卡西,自來也,鳴人,佐助,B
216,誰是第五代火影？,綱手,自來也,佐助,鳴人,A
217,哪位角色是“血繼限界”能力的使用者？,大蛇丸,佐助,鳴人,自來也,B
218,誰的“術式”是“十拳劍”？,鳴人,佐助,卡卡西,大蛇丸,B
219,哪位角色使用“水遁·水龍彈”來進行戰鬥？,鳴人,佐助,自來也,干柿鬼鮫,D
220,誰在“忍界大戰”中使用“神威”？,佐助,佩恩,宇智波帶土,自來也,C
221,哪位角色曾經是木葉村的“暗部”成員？,佐助,佩恩,大和,井野,C
222,誰是木葉村的第二代火影？,千手柱間,千手扉間,自來也,卡卡西,B
223,哪位忍者擅長使用“螺旋手裡劍”？,鳴人,佐助,自來也,小櫻,A
224,誰是“大蛇丸”的主要對手？,自來也,綱手,佐助,鳴人,A
225,誰是第四次忍界大戰中的“最強”忍者？,鳴人,佐助,宇智波斑,佩恩,C
226,哪位角色擁有“砂遁”？,鳴人,佐助,我愛羅,卡卡西,C
227,哪位角色曾經使用“天照”？,自來也,佐助,宇智波鼬,綱手,C
228,誰是鳴人的老師之一？,卡卡西,佐助,大蛇丸,佩恩,A
229,誰是木葉村的“根”組織的領導者？,千手柱間,団藏,自來也,佩恩,B
230,誰的能力包括使用“鬼神”？,佐助,自來也,佩恩,大蛇丸,C
231,哪位角色擁有“影分身”技術？,佐助,鳴人,大蛇丸,佩恩,B
232,誰在“中忍考試”中與鳴人進行過比賽？,佐助,小櫻,綱手,君麻呂,A
233,哪位角色曾經是木葉村的“暗部”隊員？,佐助,鳴人,大和,佩恩,C
234,哪位角色使用“空氣阻擋”技術？,大蛇丸,自來也,佩恩,卡卡西,C
235,誰是“木葉村”的第六代火影？,佐助,鳴人,綱手,卡卡西,D
236,誰在故事中曾經是木葉村的火影？,千手柱間,佐助,鳴人,大蛇丸,A
237,哪位角色擁有“漩渦”血統？,鳴人,佐助,自來也,綱手,A
238,誰曾經是木葉村的第四代火影？,自來也,綱手,波風湊,大蛇丸,C
239,哪位角色能夠使用“天照”？,鳴人,佐助,自來也,宇智波鼬,D
240,哪位角色在第四次忍界大戰中與鳴人合作？,佐助,自來也,綱手,大蛇丸,A
241,誰是木葉村的第三代火影？,千手柱間,猿飛日斬,佐助,鳴人,B
242,誰是“木葉村”的第五代火影？,鳴人,自來也,綱手,卡卡西,C
243,哪位角色曾經使用“雷遁·雷切”？,佐助,卡卡西,鳴人,自來也,B
244,誰是木葉村的第五代火影？,綱手,自來也,佐助,鳴人,A
245,哪位忍者的能力包括使用“幻術”？,佐助,鳴人,自來也,宇智波鼬,D
246,誰在故事中最初使用了“輪回眼”？,宇智波斑,佩恩,佐助,鳴人,A
247,哪位忍者擅長使用“水遁”技術？,佐助,自來也,干柿鬼鮫,卡卡西,C
248,誰在第四次忍界大戰中變成了“九尾”？,鳴人,佐助,自來也,奇拉比,A
249,誰是木葉村的第三代火影？,千手柱間,猿飛日斬,佐助,卡卡西,B
250,誰是佐助的哥哥？,佐井,宇智波鼬,宇智波斑,大蛇丸,B
251,哪位忍者使用了“螺旋丸”技術？,鳴人,佐助,小櫻,卡卡西,A
252,誰是木葉村的第四代火影？,波風湊,猿飛日斬,千手柱間,佐助,A
253,誰在故事中最早學會了“火遁·豪火球之術”？,鳴人,佐助,自來也,卡卡西,D
254,哪位角色的血繼限界是“白眼”？,佐助,日向寧次,鳴人,自來也,B
255,誰擅長使用“風遁·螺旋手裡劍”？,鳴人,佐助,自來也,綱手,A
256,誰是“大蛇丸”的主要對手之一？,自來也,佐助,鳴人,卡卡西,A
257,誰在故事中使用了“須佐能乎”？,鳴人,佐助,自來也,大蛇丸,B
258,哪位角色曾經使用了“地爆天星”？,佩恩,宇智波斑,佐助,鳴人,A
259,誰是第四代雷影？,奇拉比,良人,大和,卡卡西,B
260,哪位角色在“音忍四人眾”中擔任主要成員？,香燐,佐助,自來也,綱手,A
261,誰擅長使用“木遁”？,千手柱間,佩恩,大蛇丸,卡卡西,A
262,哪位角色是“砂忍”中的第五代風影？,鳴人,佐助,我愛羅,綱手,C
263,誰是木葉村的“忍者村”創立者之一？,千手柱間,千手扉間,佐助,卡卡西,A
264,誰的能力包括使用“木遁·真空”？,鳴人,佐助,千手柱間,自來也,C
265,誰在故事中使用了“輪回眼”？,佩恩,佐助,鳴人,自來也,A
266,誰是木葉村的第六代火影？,卡卡西,佐助,綱手,鳴人,A
267,哪位角色的能力包括使用“天照”？,佩恩,宇智波鼬,佐助,鳴人,B
268,誰在第四次忍界大戰中成為了“九尾”的宿主？,鳴人,奇拉比,自來也,佐助,A
269,誰的能力包括使用“幻術”？,佐助,自來也,鳴人,宇智波鼬,D
270,誰的能力包括使用“水遁·水龍彈”？,自來也,卡卡西,干柿鬼鮫,佩恩,C
271,哪位角色曾經是“木葉村”的第三代火影？,千手柱間,猿飛日斬,綱手,卡卡西,B
272,誰在“忍界大戰”中使用了“神威”？,佐助,佩恩,宇智波帶土,自來也,C
273,哪位角色的能力是“千手”？,千手柱間,千手扉間,佩恩,鳴人,A
274,誰的能力包括使用“雷遁·雷切”？,佐助,鳴人,自來也,卡卡西,D
275,誰在故事中被稱為“忍者村的英雄”？,鳴人,佐助,大蛇丸,綱手,A
276,哪位角色擁有“白眼”？,井野,日向寧次,佐井,綱手,B
277,誰是木葉村的第五代火影？,自來也,佐助,綱手,卡卡西,C
278,誰曾經是“砂忍”的領導者？,我愛羅,佐助,大蛇丸,卡卡西,A
279,誰的能力包括使用“雷遁·雷切”？,鳴人,佐助,奇拉比,卡卡西,D
280,哪位角色是“木葉村”的第二代火影？,千手柱間,千手扉間,鳴人,佩恩,B
281,誰擅長使用“血繼限界”技術？,佐助,鳴人,自來也,井野,A
282,誰的能力包括使用“砂遁”？,鳴人,佐助,我愛羅,卡卡西,C
283,哪位角色擁有“輪回眼”？,佩恩,佐助,鳴人,自來也,A
284,誰是木葉村的“根”組織的創始者？,団藏,千手柱間,佐助,鳴人,A
285,誰是木葉村的第七班的導師？,佐助,卡卡西,大蛇丸,綱手,B
286,哪位角色的能力包括使用“陰陽遁”？,自來也,佐助,佩恩,宇智波斑,D
287,誰曾經是木葉村的忍者醫療隊隊長？,自來也,綱手,鳴人,佐助,B
288,誰的能力包括使用“千鳥”？,卡卡西,佐助,鳴人,自來也,A
289,哪位角色擁有“風遁”血繼限界？,佐助,我愛羅,自來也,鳴人,B
290,誰在故事中曾經使用“天照”？,宇智波鼬,佐助,鳴人,自來也,A
291,誰曾經是木葉村的第六代火影？,卡卡西,綱手,佐助,鳴人,A
292,哪位角色能夠使用“螺旋手裡劍”？,鳴人,佐助,自來也,井野,A
293,誰在故事中擔任“砂忍”的領導者？,佐助,鳴人,我愛羅,綱手,C
294,哪位角色的能力包括使用“寫輪眼”？,宇智波鼬,佐助,自來也,綱手,A
295,誰在故事中曾經是木葉村的“暗部”隊員？,佩恩,大和,佐助,鳴人,B
296,誰的能力包括使用“木遁·木龍”？,自來也,千手柱間,佐助,大蛇丸,B
297,誰是木葉村的第三代火影？,千手柱間,猿飛日斬,佐助,卡卡西,B
